date,oi,prod_merc_long,prod_merc_short,swap_long,swap_short,swap_spread,m_money_long,m_money_short,m_money_spread,other_rept_long,other_rept_short,other_rept_spread,nonrept_long,nonrept_short
110104,870690,306453,555727,182128,56589,113708,133347,11814,52565,12563,15355,33079,36847,31853
110111,923823,336994,593477,176039,49005,129431,141186,12787,55638,10265,14198,37800,36470,31487
110118,956157,359855,580864,157677,52976,147414,138224,17331,63444,12575,14818,45574,31394,33736
110125,964590,389145,564546,150305,47785,145120,126763,43819,63877,10628,14155,47555,31197,37733
110201,943627,360442,549275,142069,37986,150587,126640,34135,66671,14690,12881,45023,37505,47069
110208,908324,342472,542600,146806,40438,138680,118299,38715,61432,16782,11473,44985,38868,30001
110215,872385,312887,524914,153371,38255,136188,114968,28267,68264,15845,12411,32615,38247,31471
110222,871994,311659,526580,151221,38305,135628,116028,30722,65159,17235,11695,34161,40903,29744
110301,882247,308681,554193,162553,34987,123216,122341,24462,69079,17030,10042,32152,47195,34116
110308,843949,287800,514221,160771,38625,132315,110701,24029,60445,14180,9172,40497,37240,24645
110315,844342,294400,506483,166431,34447,133077,109431,36898,60631,10006,7619,35448,34918,29739
110322,859364,307161,544184,173270,40578,124820,124289,32804,50020,15718,9130,30969,33117,26859
110329,854876,288750,531717,175975,41464,124829,125751,27987,53845,14258,11115,35672,35796,28247
110405,922118,319669,563874,181860,48237,132702,130153,24522,65437,12474,13758,40887,38936,32701
110412,868450,293653,517572,177965,46217,121991,116544,24678,65925,14533,17537,39087,38752,35443
110419,846225,286897,481766,160959,51920,120915,115221,33732,69327,17722,16202,34470,40714,37893
110426,840097,277740,479147,162659,49534,126701,116278,30422,70226,14596,16216,33476,38421,34375
110503,830331,280373,477119,154172,49443,133812,113729,26332,61513,15793,13449,37863,33076,30800
110510,893729,329671,518208,165817,46922,132095,111214,39126,60679,13469,16162,47165,33619,33372
110517,868670,307424,501581,181577,40302,126465,93168,41565,65782,13009,14866,43924,37321,34185
110524,844663,288077,475772,176054,38412,125306,94491,46501,64650,13793,15836,45031,37261,33155
110531,874507,297640,494149,172999,41170,132504,106767,43179,70073,13658,16244,48300,32566,28888
110607,871465,284985,480582,174963,43197,125440,106126,42699,74443,17290,19982,47796,40422,37326
110614,860564,266240,452767,169716,50594,127067,111357,40936,83860,17490,26407,42957,41877,35976
110621,814890,271286,417335,167285,57736,118714,89058,49667,74408,10295,15697,44887,38957,36446
110628,776198,281637,425304,170116,62684,95211,87831,49301,64306,10915,11526,31540,34642,36326
110705,790163,282287,449361,168681,57665,98514,100233,37539,57921,8762,12757,35963,37802,40443
110712,800395,274659,455030,171441,62329,98953,108096,32098,58307,7747,15733,39453,41739,38492
110719,790601,267320,449214,159175,63605,98646,113782,27762,65636,7228,14865,36288,42526,34585
110726,809698,276452,461160,154049,64373,102656,122240,29072,66433,7120,13892,36895,43853,35217
110802,826483,277172,468441,155206,59888,102965,126312,34318,57299,8589,13691,42939,56001,46942
110809,791254,288243,425909,150495,53676,107877,94296,43839,61242,7293,15333,44781,37027,38597
110816,761371,265638,395238,153911,53582,110431,92146,47360,65562,7516,15788,42682,23485,30728
110823,765757,264387,373770,144855,61288,113348,94130,55484,62808,6252,16926,47256,32721,34877
110830,784910,279899,399403,138817,67494,110687,103852,43264,62498,6199,16816,49989,32969,34759
110906,856986,325655,441744,128870,72598,121566,115881,46354,61773,8033,19163,53293,41915,40495
110913,883863,363892,464031,117700,78424,135908,117980,51316,50810,10978,15477,51438,35157,36459
110920,853013,325771,425514,113785,78212,142720,121294,51317,54220,10740,16324,49093,35390,35613
110927,889700,367135,422644,111206,75068,155346,105098,61784,57621,8377,24371,51412,33505,41454
111004,894023,387525,401719,112218,92019,134746,96801,72025,75766,7571,30512,54044,25352,33192
111011,913294,384503,427392,122612,88213,139707,98527,62583,74517,5971,28207,52542,34915,40133
111018,945491,371652,429370,126326,104578,141893,114069,64365,91108,7268,25978,54749,38426,33450
111025,963954,380423,438785,128467,109972,138849,114813,70826,93081,8119,21628,55755,44447,35058
111101,948129,379437,450736,131544,104836,138128,113635,62423,80396,7764,18729,58030,39195,34851
111108,975810,362598,439345,127439,112660,143561,121733,60174,107272,10559,21162,51837,50811,39799
111115,948881,352620,394642,116421,137073,144817,123354,61240,108657,11437,22696,51476,40099,28280
111122,912569,349690,399148,119103,124665,136194,111670,56031,104605,6902,17375,49955,34450,24596
111129,914717,340983,397323,119954,129309,138302,117346,46603,106110,7694,18670,45418,38910,32982
111206,920893,349054,418679,122800,132510,125530,123151,37635,99413,6636,16027,53017,41292,38082
111213,902040,348748,426054,126498,125820,127574,124576,45644,82855,8060,15882,46886,36843,31325
111220,869471,329220,410029,135478,115795,123839,113315,47921,78859,8724,16976,46287,33749,29765
111227,881066,324965,430655,138971,112657,126381,124288,45516,78381,9831,16201,43516,34733,27759
120103,912186,311217,436503,140101,116693,118241,138452,44137,99489,10429,14416,48681,45576,34026
120110,951045,325653,460415,143170,117254,119634,144863,54312,104924,15012,10127,52545,45244,31834
120117,952928,306573,447070,160284,119573,121333,142246,59169,102507,17240,12755,50741,52004,39780
120124,984053,313826,461777,164471,114277,130049,145227,62362,111189,16442,11187,51398,51451,41814
120131,1000765,330196,485854,166399,111904,134224,141629,57212,113760,15679,11447,53496,45382,32868
120207,1051880,380155,538759,160027,110200,140209,138071,49365,106156,17918,12951,61553,47791,32687
120214,1051943,372551,536694,161715,115444,151076,145160,48457,96918,22520,13322,54493,47510,35539
120221,1045430,356574,538084,158272,108802,144692,150892,43914,94747,24154,13397,60241,55858,41553
120228,1048164,353954,559444,161937,104373,144452,164648,42360,98570,22324,11042,54567,47712,33356
120306,1072169,372901,574116,154526,104540,155151,173319,45225,84021,23726,12028,59394,49131,37694
120313,1105234,372374,575879,154228,106524,169031,178105,45153,87719,22334,12174,65989,55454,42765
120320,1072435,342895,544497,145489,104300,178461,179217,47340,86764,23782,8134,66759,49068,36180
120327,1100677,343661,554986,143958,109671,187291,181018,42653,95282,31841,7944,71454,46172,31396
120403,1171142,376529,577259,154854,113480,195086,177613,52537,95408,39487,14711,80125,52040,42536
120410,1221764,390870,577962,159903,115569,204143,168090,58616,99404,36194,11258,82339,80821,72473
120417,1173628,381524,574563,167668,114823,188515,164223,56125,107847,34596,9448,86113,43142,36194
120424,1228342,422844,609620,162422,106278,195142,164091,61700,118505,31839,10398,89061,44438,37638
120501,1239919,428858,628454,158659,102702,195020,177355,62128,119516,31249,12730,89724,39538,29645
120508,1281051,462107,641858,166889,93438,200981,156565,64096,119825,23899,15877,103439,47346,41537
120515,1235108,434616,594666,166179,98894,204160,144971,61498,110449,19443,13868,111491,43799,40082
120522,1198035,427205,584420,167343,92594,190451,138944,59549,109704,16764,16136,107513,40111,37668
120529,1227673,463265,614381,174447,91211,189051,134839,63193,109158,15733,14045,101393,39787,45241
120605,1242535,479362,622942,189623,96708,197669,124772,67469,104181,18782,18717,91009,37137,43840
120612,1243060,482774,630213,198578,98111,189051,122098,75332,90334,19377,11177,90050,50798,58792
120619,1208441,482584,624214,190839,100600,178780,121740,76095,85515,20238,10550,83935,44810,48752
120626,1197217,488924,641249,209420,95638,160568,118186,80370,77908,17106,12692,77598,47507,51194
120703,1183435,502297,661129,213902,100275,150836,116231,63044,66356,19503,24592,64572,49738,52631
120710,1180903,508921,663213,210664,96599,149670,118875,69755,60750,20975,27574,66505,44543,46837
120717,1153447,488609,662448,210371,95755,144712,122817,53736,66995,17461,26282,60481,42001,43038
120724,1151277,489328,652666,201467,101727,139216,123261,55110,70611,20725,28859,59761,46908,43327
120731,1172822,489922,665532,193741,96522,153565,123354,44682,79347,23090,29543,62640,47163,40991
120807,1133579,448337,620415,194846,103634,148598,127468,44177,76059,25063,30764,68611,44597,41321
120814,1135381,450415,625186,203511,102415,147751,128997,45934,79195,21604,35641,55847,48061,43412
120821,1120047,428521,612585,207707,108814,137126,138308,43860,80880,21726,36870,59824,45955,40088
120828,1135565,446203,616104,207019,114676,141114,142216,48378,77691,17498,40760,55250,48574,41592
120904,1172075,474184,627486,193535,113190,159682,144549,49826,74413,16732,46174,63572,45408,37732
120911,1194127,504183,631938,178578,130057,156775,150846,48075,73707,16884,42972,65232,47922,45371
120918,1196349,490931,592173,169070,150391,160576,150727,50336,84621,13612,46354,71633,55179,40265
120925,1169940,498952,598923,180929,150391,156400,143151,42600,71467,9027,45172,65102,44912,39885
121002,1157377,485761,590539,179845,149887,157619,142953,35189,73876,9310,46899,65006,43007,38362
121009,1202868,518608,634385,183221,142913,151480,147431,41408,74068,10442,46448,74027,43591,38139
121016,1222242,527330,624429,177443,157454,151062,153903,42692,76472,15351,49512,78869,41812,41752
121023,1219505,547639,622558,190588,160600,145230,139461,53037,73158,13464,56157,77410,32555,31355
121030,1232370,547234,637040,200762,158018,147251,137481,50972,74109,11015,52452,88239,26279,24289
121106,1263466,565184,665744,206907,148723,156526,129302,46295,74506,12946,53548,77568,40527,40556
121113,1272487,588245,662237,198917,161398,157196,126033,50125,74270,11509,49826,84887,31430,32548
121120,1272870,574830,668461,203830,166724,152957,134974,40241,84270,12739,51788,78557,30713,29872
121127,1290690,576932,672094,205833,176941,147502,141869,36190,87128,15152,54598,84310,31964,31927
121204,1281132,542974,655405,203668,168305,153571,145977,35810,77772,13988,52281,96742,46440,41246
121211,1315011,571767,678419,210500,158248,158365,133564,40804,97043,15340,54024,88854,39578,39254
121218,1277613,528185,641991,208355,164550,150778,140423,35439,102348,15334,57870,91793,40397,32844
121224,1311476,550759,676142,212333,170175,144771,156990,32502,96058,15279,59272,92814,42472,39742
121231,1285300,520351,667697,212946,165649,141323,167623,30051,93672,16129,62082,94434,38822,30392
130108,1318295,510279,680145,221224,171379,147615,185105,37404,95726,18088,65639,96758,43500,23629
130115,1352453,517421,696372,236465,163903,158698,187800,49707,99898,21111,65454,88537,42523,29884
130122,1389986,534990,731458,237974,163415,154017,196309,48497,110941,25840,62716,92619,37296,26323
130129,1463703,559953,786689,242629,169399,163103,214886,42258,117365,32188,61455,93207,40372,30227
130205,1484993,547637,785089,243936,180370,169149,227332,43440,104161,38460,60959,109727,44591,32098
130212,1545620,584287,810284,243067,178994,180103,223916,41973,116516,36824,65764,126890,34017,25096
130219,1527458,581097,806010,240697,172316,180552,227132,47812,116178,35682,68781,113311,32809,22498
130226,1522411,598219,791347,262632,180728,162744,207178,57743,122629,25591,69093,113560,29858,24567
130305,1570668,661431,858026,278548,173286,157551,184726,59308,125843,23174,61418,109654,29741,25582
130312,1546800,628708,827155,282959,173523,154908,179682,65069,131335,24621,55381,109148,35439,30281
130319,1468976,578442,787424,291301,166619,154697,183136,62008,114372,17251,55374,101583,28194,26899
130326,1469320,560337,795392,302898,156610,144585,189497,62763,111917,18701,61122,108617,32768,28314
130402,1491814,569879,832235,309687,149830,147944,198944,62059,110360,20188,62563,94694,40118,32129
130409,1511363,609186,857749,321465,138746,151403,177176,67811,112771,19546,63178,85693,34123,34012
130416,1464462,558348,809372,331816,135494,147551,168991,66916,117783,19462,63604,89669,30842,34073
130423,1481941,545964,824935,355100,122116,150424,169621,74330,120435,18784,63162,89908,31705,36631
130430,1572795,594408,912330,358181,109118,163564,180440,72241,131097,26042,63127,101009,18054,20309
130507,1584024,588972,930693,362784,103373,168690,180308,57854,136986,25811,63482,90907,29566,32039
130514,1565396,565797,906442,350382,96352,181995,179960,52364,132787,27149,64963,100244,27082,30249
130521,1534378,534729,875734,345148,110583,181217,194614,51449,125330,28479,68749,92289,32572,29027
130528,1514693,516141,861443,341432,113611,174682,209961,50351,125445,28661,70337,85171,33200,33653
130604,1540730,537808,903835,349364,108692,175469,215234,49516,128490,28019,66527,75963,30383,32238
130611,1531353,542368,896009,347524,109427,173243,210860,54553,125734,28470,65407,74158,28996,32822
130618,1540186,536717,915980,342925,113970,166617,231769,49834,123055,26618,65044,77907,34578,27779
130625,1515803,553738,898101,356551,110865,163093,192244,54688,135397,23130,60320,63543,28107,29796
130702,1558986,583170,944255,363390,108417,164474,196157,52011,137692,20915,58197,64321,28867,29619
130709,1545826,550061,930537,355393,110970,155004,217685,49146,135098,26292,64945,68433,37860,31693
130716,1545272,554790,946736,350178,107023,158355,225965,48090,119487,30708,68759,73593,32196,23229
130723,1539693,546435,925925,339262,121821,159438,237401,45356,126511,29115,67165,68134,33397,25343
130730,1520713,549915,915959,340588,124106,157247,236058,51341,118334,23129,69370,62206,33236,22150
130806,1576403,578184,958775,339423,121162,156313,239274,46262,125419,27516,68169,75830,34444,24473
130813,1563666,561252,948890,341182,117415,158203,239335,48622,126994,23183,62198,71442,42075,29902
130820,1518337,520866,911864,322697,125989,166319,252001,48206,118730,29683,61981,65681,42360,19567
130827,1528597,539778,935857,312363,134310,162086,268226,43884,110414,28905,60207,64006,42819,17833
130903,1532771,549375,933099,307260,132029,161698,260811,46575,114871,28452,53147,63029,47275,28323
130910,1509941,551757,914937,306156,130215,153509,253438,50850,114959,25230,58564,58700,46192,28207
130917,1456140,512296,863269,317189,135866,146139,242952,57072,106212,25421,56436,63205,42726,27941
130924,1486002,551558,873665,323764,155550,143450,225345,57474,114154,25377,53344,63528,38826,24837
131001,1514280,582100,888401,321032,156410,149818,219837,59183,114673,18873,51737,64528,43419,29530
131008,1569399,618511,936650,325231,155780,146806,230408,65222,115406,20310,52050,68886,43841,28599
131015,1535398,605327,912181,308873,149977,157666,226666,63694,109333,18494,46921,68070,40969,27556
131022,1479721,531851,848852,323207,139437,149312,234744,81564,108727,19501,48459,70135,42244,33235
131029,1460661,540697,846973,338985,132101,135594,219283,94641,102715,16865,47511,68415,38107,32711
131105,1461869,564199,841656,337260,135798,136196,211223,101018,90120,16632,52684,70137,36102,34260
131112,1517633,622678,886801,335886,122632,152391,192739,103483,85036,12138,47805,83716,33049,35769
131119,1518289,620024,877467,317624,131409,154584,205283,97990,81223,16026,54259,89294,34231,32063
131126,1546748,619833,901305,322067,129733,154303,223234,95266,86109,16651,57117,91162,33389,31753
131203,1551308,626798,878909,289541,129120,175139,224355,94280,87101,16905,58811,92624,38845,35324
131210,1572940,666661,895524,286699,129996,174141,221138,104863,85176,13009,61438,93861,32255,27941
131217,1499310,637214,840961,287819,127443,157637,198952,110504,71238,11265,59530,96128,39057,35869
131224,1436241,594001,815329,281974,130412,153002,212344,88605,64191,14259,73681,81894,34576,29127
131231,1442907,589647,811368,280309,135716,156305,218558,87842,61837,16123,74440,83507,36621,31892
140107,1444153,598331,799672,290817,126788,159037,196336,102998,53670,15095,71436,96289,34578,34263
140114,1454277,598280,801174,301386,118361,160749,186211,103044,67941,13504,72596,91498,34708,38914
140121,1466531,581417,809301,316201,116974,159219,193591,104069,73422,14507,72613,94228,33946,36705
140128,1476358,604050,825786,308979,124839,152280,207109,108766,66059,13261,71154,91055,33565,36419
140204,1494756,623087,829314,311632,132241,158856,203114,116691,53646,14521,69258,96841,33059,37909
140211,1505087,592247,816261,297270,130281,162345,222129,109321,60647,14314,76484,119961,36174,29787
140218,1502814,569185,790380,297783,135929,160243,232067,105586,70879,15139,82587,121470,36048,35740
140225,1519265,566341,808463,288074,129110,166070,244977,99074,80787,17739,83031,117463,37814,35267
140304,1564830,613213,857119,288324,133986,152843,246239,93352,88187,16836,85512,122239,36949,31592
140311,1551672,625606,869934,291551,124723,151926,229970,89806,84237,16159,82172,113589,38634,35285
140318,1477704,579633,823506,283543,122385,153117,218125,77208,92183,17109,76769,96519,37475,36017
140325,1474992,577590,823541,288243,118007,147768,218640,82655,94306,15876,79498,96489,36080,32728
140401,1509421,604591,842973,280732,116759,148035,219151,85565,102425,16703,78158,102685,35099,32821
140408,1521521,609874,871248,290919,113633,153534,220815,80291,97985,18615,78679,92581,37198,33570
140415,1491344,588386,892315,286691,109713,145949,241255,67590,91103,23144,73634,81136,33680,29904
140422,1497512,585544,899865,282669,120969,137344,253996,47425,99671,22523,78999,81187,34578,32052
140429,1488670,589980,905606,274872,120736,133380,254383,47490,92777,20891,77009,83642,38745,28030
140506,1540545,634931,926920,282393,115357,141801,232827,60497,84314,19975,75413,107461,36843,28782
140513,1553872,641293,950211,284483,105039,147550,240156,59850,72858,21331,78670,105058,41143,34636
140520,1535772,603505,941390,284619,99131,142978,254356,49700,78884,27834,88446,107219,36377,28024
140527,1556101,620410,967133,276691,97812,149078,258520,42495,73131,32267,86051,106943,39061,33458
140603,1577649,635596,986341,280753,90523,151676,253764,50215,70944,33038,83301,113844,38034,30805
140610,1582669,626984,986588,283316,84583,148747,257453,53919,74799,30525,78982,119790,41055,35261
140617,1590022,617639,994595,276978,87921,155186,273015,50059,89407,34499,81188,99386,43912,32280
140624,1653859,649667,1036188,274220,94366,162380,289479,49038,96131,37043,84973,98364,46575,32419
140701,1619559,603225,997434,270035,86209,170425,290992,50900,106286,33985,78786,91617,52994,37902
