moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,Unnamed: 13
2012-10-02,BR,Фьючерсный контракт на нефть BRENT,F,,31.0,26.0,3539.0,14641.0,980.0,1015.0,0.38296,0.07449,
2012-10-02,BR,Фьючерсный контракт на нефть BRENT,F,1.0,220.0,297.0,16082.0,4980.0,-151.0,-186.0,-0.0093,-0.036,
2012-10-09,BR,Фьючерсный контракт на нефть BRENT,F,,26.0,37.0,2995.0,15581.0,764.0,3555.0,0.34245,0.29561,
2012-10-09,BR,Фьючерсный контракт на нефть BRENT,F,1.0,243.0,364.0,18430.0,5844.0,2846.0,55.0,0.18262,0.0095,
2012-10-16,BR,Фьючерсный контракт на нефть BRENT,F,,35.0,40.0,16068.0,13045.0,12990.0,-4084.0,4.2203,-0.23843,
2012-10-16,BR,Фьючерсный контракт на нефть BRENT,F,1.0,536.0,447.0,22998.0,26021.0,2304.0,19378.0,0.11134,2.9171,
2012-10-23,BR,Фьючерсный контракт на нефть BRENT,F,,28.0,15.0,16190.0,10987.0,-10062.0,7288.0,-0.38329,1.9703,
2012-10-23,BR,Фьючерсный контракт на нефть BRENT,F,1.0,396.0,168.0,5098.0,10301.0,-1893.0,-19243.0,-0.27078,-0.65133,
2012-10-30,BR,Фьючерсный контракт на нефть BRENT,F,,29.0,19.0,6398.0,4336.0,1195.0,-1399.0,0.22968,-0.24394,
2012-10-30,BR,Фьючерсный контракт на нефть BRENT,F,1.0,357.0,174.0,6239.0,8301.0,-2172.0,422.0,-0.25823,0.05356,
2012-11-06,BR,Фьючерсный контракт на нефть BRENT,F,,28.0,24.0,8141.0,3729.0,102.0,294.0,0.01269,0.08559,
2012-11-06,BR,Фьючерсный контракт на нефть BRENT,F,1.0,328.0,185.0,3435.0,7847.0,-564.0,-756.0,-0.14104,-0.08788,
2012-11-13,BR,Фьючерсный контракт на нефть BRENT,F,,24.0,21.0,4309.0,6842.0,1548.0,-857.0,0.56067,-0.11131,
2012-11-13,BR,Фьючерсный контракт на нефть BRENT,F,1.0,274.0,191.0,7942.0,5409.0,-2136.0,269.0,-0.21195,0.05233,
2012-11-20,BR,Фьючерсный контракт на нефть BRENT,F,,32.0,28.0,22515.0,4030.0,9580.0,-14163.0,0.74063,-0.77849,
2012-11-20,BR,Фьючерсный контракт на нефть BRENT,F,1.0,652.0,276.0,15929.0,34414.0,5463.0,29206.0,0.52198,5.6079,
2012-11-27,BR,Фьючерсный контракт на нефть BRENT,F,,32.0,28.0,30268.0,3237.0,1384.0,-1096.0,0.04792,-0.25294,
2012-11-27,BR,Фьючерсный контракт на нефть BRENT,F,1.0,723.0,249.0,10554.0,37585.0,-1084.0,1396.0,-0.09314,0.03858,
2012-12-04,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,21.0,34804.0,3796.0,6424.0,-1156.0,0.22636,-0.23344,
2012-12-04,BR,Фьючерсный контракт на нефть BRENT,F,1.0,828.0,176.0,11643.0,42651.0,-1144.0,6436.0,-0.08947,0.17772,
2012-12-11,BR,Фьючерсный контракт на нефть BRENT,F,,48.0,17.0,55275.0,18296.0,-6521.0,-4091.0,-0.10552,-0.18274,
2012-12-11,BR,Фьючерсный контракт на нефть BRENT,F,1.0,918.0,133.0,7688.0,44667.0,2746.0,316.0,0.55565,0.00712,
2012-12-18,BR,Фьючерсный контракт на нефть BRENT,F,,27.0,17.0,39416.0,3034.0,1281.0,190.0,0.03359,0.06681,
2012-12-18,BR,Фьючерсный контракт на нефть BRENT,F,1.0,803.0,110.0,5574.0,41956.0,-364.0,727.0,-0.0613,0.01763,
