,date,oi,prod_merc_long,prod_merc_short,swap_long,swap_short,swap_spread,m_money_long,m_money_short,m_money_spread,other_rept_long,other_rept_short,other_rept_spread,nonrept_long,nonrept_short,price_brent
0,2011-01-04,870690.0,306453,555727,182128,56589,113708,133347,11814,52565,12563,15355,33079,36847,31853,93.52
1,2011-01-11,923823.0,336994,593477,176039,49005,129431,141186,12787,55638,10265,14198,37800,36470,31487,96.8
2,2011-01-18,956157.0,359855,580864,157677,52976,147414,138224,17331,63444,12575,14818,45574,31394,33736,97.83
3,2011-01-25,964590.0,389145,564546,150305,47785,145120,126763,43819,63877,10628,14155,47555,31197,37733,96.76
4,2011-02-01,943627.0,360442,549275,142069,37986,150587,126640,34135,66671,14690,12881,45023,37505,47069,100.4
5,2011-02-08,908324.0,342472,542600,146806,40438,138680,118299,38715,61432,16782,11473,44985,38868,30001,99.25
6,2011-02-15,872385.0,312887,524914,153371,38255,136188,114968,28267,68264,15845,12411,32615,38247,31471,102.48
7,2011-02-22,871994.0,311659,526580,151221,38305,135628,116028,30722,65159,17235,11695,34161,40903,29744,106.82
8,2011-03-01,882247.0,308681,554193,162553,34987,123216,122341,24462,69079,17030,10042,32152,47195,34116,113.34
9,2011-03-08,843949.0,287800,514221,160771,38625,132315,110701,24029,60445,14180,9172,40497,37240,24645,112.32
10,2011-03-15,844342.0,294400,506483,166431,34447,133077,109431,36898,60631,10006,7619,35448,34918,29739,111.11
11,2011-03-22,859364.0,307161,544184,173270,40578,124820,124289,32804,50020,15718,9130,30969,33117,26859,115.63
12,2011-03-29,854876.0,288750,531717,175975,41464,124829,125751,27987,53845,14258,11115,35672,35796,28247,115.58
13,2011-04-05,922118.0,319669,563874,181860,48237,132702,130153,24522,65437,12474,13758,40887,38936,32701,122.87
14,2011-04-12,868450.0,293653,517572,177965,46217,121991,116544,24678,65925,14533,17537,39087,38752,35443,121.33
15,2011-04-19,846225.0,286897,481766,160959,51920,120915,115221,33732,69327,17722,16202,34470,40714,37893,121.35
16,2011-04-26,840097.0,277740,479147,162659,49534,126701,116278,30422,70226,14596,16216,33476,38421,34375,124.55
17,2011-05-03,830331.0,280373,477119,154172,49443,133812,113729,26332,61513,15793,13449,37863,33076,30800,124.01
18,2011-05-10,893729.0,329671,518208,165817,46922,132095,111214,39126,60679,13469,16162,47165,33619,33372,117.82
19,2011-05-17,868670.0,307424,501581,181577,40302,126465,93168,41565,65782,13009,14866,43924,37321,34185,109.39
20,2011-05-24,844663.0,288077,475772,176054,38412,125306,94491,46501,64650,13793,15836,45031,37261,33155,112.52
21,2011-05-31,874507.0,297640,494149,172999,41170,132504,106767,43179,70073,13658,16244,48300,32566,28888,117.18
22,2011-06-07,871465.0,284985,480582,174963,43197,125440,106126,42699,74443,17290,19982,47796,40422,37326,116.14
23,2011-06-14,860564.0,266240,452767,169716,50594,127067,111357,40936,83860,17490,26407,42957,41877,35976,120.35
24,2011-06-21,814890.0,271286,417335,167285,57736,118714,89058,49667,74408,10295,15697,44887,38957,36446,112.02
25,2011-06-28,776198.0,281637,425304,170116,62684,95211,87831,49301,64306,10915,11526,31540,34642,36326,107.57
26,2011-07-05,790163.0,282287,449361,168681,57665,98514,100233,37539,57921,8762,12757,35963,37802,40443,113.21
27,2011-07-12,800395.0,274659,455030,171441,62329,98953,108096,32098,58307,7747,15733,39453,41739,38492,117.36
28,2011-07-19,790601.0,267320,449214,159175,63605,98646,113782,27762,65636,7228,14865,36288,42526,34585,118.18
29,2011-07-26,809698.0,276452,461160,154049,64373,102656,122240,29072,66433,7120,13892,36895,43853,35217,118.14
30,2011-08-02,826483.0,277172,468441,155206,59888,102965,126312,34318,57299,8589,13691,42939,56001,46942,116.02
31,2011-08-09,791254.0,288243,425909,150495,53676,107877,94296,43839,61242,7293,15333,44781,37027,38597,103.63
32,2011-08-16,761371.0,265638,395238,153911,53582,110431,92146,47360,65562,7516,15788,42682,23485,30728,109.69
33,2011-08-23,765757.0,264387,373770,144855,61288,113348,94130,55484,62808,6252,16926,47256,32721,34877,110.35
34,2011-08-30,784910.0,279899,399403,138817,67494,110687,103852,43264,62498,6199,16816,49989,32969,34759,115.59
35,2011-09-06,856986.0,325655,441744,128870,72598,121566,115881,46354,61773,8033,19163,53293,41915,40495,113.29
36,2011-09-13,883863.0,363892,464031,117700,78424,135908,117980,51316,50810,10978,15477,51438,35157,36459,114.08
37,2011-09-20,853013.0,325771,425514,113785,78212,142720,121294,51317,54220,10740,16324,49093,35390,35613,114.39
38,2011-09-27,889700.0,367135,422644,111206,75068,155346,105098,61784,57621,8377,24371,51412,33505,41454,109.54
39,2011-10-04,894023.0,387525,401719,112218,92019,134746,96801,72025,75766,7571,30512,54044,25352,33192,101.84
40,2011-10-11,913294.0,384503,427392,122612,88213,139707,98527,62583,74517,5971,28207,52542,34915,40133,109.22
41,2011-10-18,945491.0,371652,429370,126326,104578,141893,114069,64365,91108,7268,25978,54749,38426,33450,112.08
42,2011-10-25,963954.0,380423,438785,128467,109972,138849,114813,70826,93081,8119,21628,55755,44447,35058,112.11
43,2011-11-01,948129.0,379437,450736,131544,104836,138128,113635,62423,80396,7764,18729,58030,39195,34851,106.97
44,2011-11-08,975810.0,362598,439345,127439,112660,143561,121733,60174,107272,10559,21162,51837,50811,39799,115.61
45,2011-11-15,948881.0,352620,394642,116421,137073,144817,123354,61240,108657,11437,22696,51476,40099,28280,111.9
46,2011-11-22,912569.0,349690,399148,119103,124665,136194,111670,56031,104605,6902,17375,49955,34450,24596,107.77
47,2011-11-29,914717.0,340983,397323,119954,129309,138302,117346,46603,106110,7694,18670,45418,38910,32982,111.25
48,2011-12-06,920893.0,349054,418679,122800,132510,125530,123151,37635,99413,6636,16027,53017,41292,38082,110.16
49,2011-12-13,902040.0,348748,426054,126498,125820,127574,124576,45644,82855,8060,15882,46886,36843,31325,109.25
50,2011-12-20,869471.0,329220,410029,135478,115795,123839,113315,47921,78859,8724,16976,46287,33749,29765,107.8
51,2012-01-03,912186.0,311217,436503,140101,116693,118241,138452,44137,99489,10429,14416,48681,45576,34026,111.12
52,2012-01-10,951045.0,325653,460415,143170,117254,119634,144863,54312,104924,15012,10127,52545,45244,31834,113.3
53,2012-01-17,952928.0,306573,447070,160284,119573,121333,142246,59169,102507,17240,12755,50741,52004,39780,110.55
54,2012-01-24,984053.0,313826,461777,164471,114277,130049,145227,62362,111189,16442,11187,51398,51451,41814,108.38
55,2012-01-31,1000765.0,330196,485854,166399,111904,134224,141629,57212,113760,15679,11447,53496,45382,32868,110.26
56,2012-02-07,1051880.0,380155,538759,160027,110200,140209,138071,49365,106156,17918,12951,61553,47791,32687,116.86
57,2012-02-14,1051943.0,372551,536694,161715,115444,151076,145160,48457,96918,22520,13322,54493,47510,35539,118.3
58,2012-02-21,1045430.0,356574,538084,158272,108802,144692,150892,43914,94747,24154,13397,60241,55858,41553,120.85
59,2012-02-28,1048164.0,353954,559444,161937,104373,144452,164648,42360,98570,22324,11042,54567,47712,33356,124.02
60,2012-03-06,1072169.0,372901,574116,154526,104540,155151,173319,45225,84021,23726,12028,59394,49131,37694,125.03
61,2012-03-13,1105234.0,372374,575879,154228,106524,169031,178105,45153,87719,22334,12174,65989,55454,42765,128.14
62,2012-03-20,1072435.0,342895,544497,145489,104300,178461,179217,47340,86764,23782,8134,66759,49068,36180,124.38
63,2012-03-27,1100677.0,343661,554986,143958,109671,187291,181018,42653,95282,31841,7944,71454,46172,31396,125.25
64,2012-04-10,1221764.0,390870,577962,159903,115569,204143,168090,58616,99404,36194,11258,82339,80821,72473,121.89
65,2012-04-17,1173628.0,381524,574563,167668,114823,188515,164223,56125,107847,34596,9448,86113,43142,36194,117.41
66,2012-04-24,1228342.0,422844,609620,162422,106278,195142,164091,61700,118505,31839,10398,89061,44438,37638,117.74
67,2012-05-01,1239919.0,428858,628454,158659,102702,195020,177355,62128,119516,31249,12730,89724,39538,29645,119.57
68,2012-05-08,1281051.0,462107,641858,166889,93438,200981,156565,64096,119825,23899,15877,103439,47346,41537,110.48
69,2012-05-15,1235108.0,434616,594666,166179,98894,204160,144971,61498,110449,19443,13868,111491,43799,40082,111.4
70,2012-05-22,1198035.0,427205,584420,167343,92594,190451,138944,59549,109704,16764,16136,107513,40111,37668,109.76
71,2012-05-29,1227673.0,463265,614381,174447,91211,189051,134839,63193,109158,15733,14045,101393,39787,45241,107.55
72,2012-06-05,1242535.0,479362,622942,189623,96708,197669,124772,67469,104181,18782,18717,91009,37137,43840,98.65
73,2012-06-12,1243060.0,482774,630213,198578,98111,189051,122098,75332,90334,19377,11177,90050,50798,58792,96.59
74,2012-06-19,1208441.0,482584,624214,190839,100600,178780,121740,76095,85515,20238,10550,83935,44810,48752,95.14
75,2012-06-26,1197217.0,488924,641249,209420,95638,160568,118186,80370,77908,17106,12692,77598,47507,51194,90.19
76,2012-07-03,1183435.0,502297,661129,213902,100275,150836,116231,63044,66356,19503,24592,64572,49738,52631,99.89
77,2012-07-10,1180903.0,508921,663213,210664,96599,149670,118875,69755,60750,20975,27574,66505,44543,46837,99.15
78,2012-07-17,1153447.0,488609,662448,210371,95755,144712,122817,53736,66995,17461,26282,60481,42001,43038,104.21
79,2012-07-24,1151277.0,489328,652666,201467,101727,139216,123261,55110,70611,20725,28859,59761,46908,43327,103.57
80,2012-07-31,1172822.0,489922,665532,193741,96522,153565,123354,44682,79347,23090,29543,62640,47163,40991,105.93
81,2012-08-07,1133579.0,448337,620415,194846,103634,148598,127468,44177,76059,25063,30764,68611,44597,41321,112.39
82,2012-08-14,1135381.0,450415,625186,203511,102415,147751,128997,45934,79195,21604,35641,55847,48061,43412,113.9
83,2012-08-21,1120047.0,428521,612585,207707,108814,137126,138308,43860,80880,21726,36870,59824,45955,40088,116.03
84,2012-08-28,1135565.0,446203,616104,207019,114676,141114,142216,48378,77691,17498,40760,55250,48574,41592,112.62
85,2012-09-04,1172075.0,474184,627486,193535,113190,159682,144549,49826,74413,16732,46174,63572,45408,37732,114.98
86,2012-09-11,1194127.0,504183,631938,178578,130057,156775,150846,48075,73707,16884,42972,65232,47922,45371,114.86
87,2012-09-18,1196349.0,490931,592173,169070,150391,160576,150727,50336,84621,13612,46354,71633,55179,40265,113.29
88,2012-09-25,1169940.0,498952,598923,180929,150391,156400,143151,42600,71467,9027,45172,65102,44912,39885,110.77
89,2012-10-02,1157377.0,485761,590539,179845,149887,157619,142953,35189,73876,9310,46899,65006,43007,38362,112.49
90,2012-10-09,1202868.0,518608,634385,183221,142913,151480,147431,41408,74068,10442,46448,74027,43591,38139,114.32
91,2012-10-16,1222242.0,527330,624429,177443,157454,151062,153903,42692,76472,15351,49512,78869,41812,41752,115.0
92,2012-10-23,1219505.0,547639,622558,190588,160600,145230,139461,53037,73158,13464,56157,77410,32555,31355,107.53
93,2012-10-30,1232370.0,547234,637040,200762,158018,147251,137481,50972,74109,11015,52452,88239,26279,24289,109.4
94,2012-11-06,1263466.0,565184,665744,206907,148723,156526,129302,46295,74506,12946,53548,77568,40527,40556,109.27
95,2012-11-13,1272487.0,588245,662237,198917,161398,157196,126033,50125,74270,11509,49826,84887,31430,32548,108.82
96,2012-11-20,1272870.0,574830,668461,203830,166724,152957,134974,40241,84270,12739,51788,78557,30713,29872,110.01
