,date,fiz_long,fiz_short,yur_long,yur_short,oi
0,2012-10-02,4980,16082,14641,3539,39242
1,2012-10-09,5844,18430,15581,2995,42850
2,2012-10-16,26021,22998,13045,16068,78132
3,2012-10-23,10301,5098,10987,16190,42576
4,2012-10-30,8301,6239,4336,6398,25274
5,2012-11-06,7847,3435,3729,8141,23152
6,2012-11-13,5409,7942,6842,4309,24502
7,2012-11-20,34414,15929,4030,22515,76888
8,2012-11-27,37585,10554,3237,30268,81644
9,2012-12-04,42651,11643,3796,34804,92894
10,2012-12-11,44667,7688,18296,55275,125926
11,2012-12-18,41956,5574,3034,39416,89980
12,2012-12-24,40221,5127,4110,39204,88662
13,2013-01-08,37850,6816,5141,36175,85982
14,2013-01-15,45452,4797,5237,45892,101378
15,2013-01-22,38904,7886,17358,48376,112524
16,2013-01-29,40720,5832,13130,48018,107700
17,2013-02-05,37264,16255,22366,43375,119260
18,2013-02-12,40499,19124,20750,42125,122498
19,2013-02-19,38277,13660,21656,46273,119866
20,2013-02-26,7020,11449,32981,28552,80002
21,2013-03-05,8294,13873,9796,4217,36180
22,2013-03-12,9332,15218,12324,6438,43312
23,2013-03-19,5427,13786,12870,4511,36594
24,2013-03-26,6835,9477,9244,6602,32158
25,2013-04-02,10759,11474,9729,9014,40976
26,2013-04-09,12305,3959,5862,14208,36334
27,2013-04-16,7749,10909,11461,8301,38420
28,2013-04-23,10605,17133,19250,12722,59710
29,2013-04-30,5453,8617,9018,5854,28942
30,2013-05-07,6031,7625,6855,5261,25772
31,2013-05-14,9098,3678,7953,13373,34102
32,2013-05-21,10218,7388,8825,11655,38086
33,2013-05-28,8610,10049,10739,9300,38698
34,2013-06-04,4046,10457,13249,6838,34590
35,2013-06-11,2342,16056,25746,12032,56176
36,2013-06-18,52998,15674,3704,41028,113404
37,2013-06-25,10771,12297,15252,13726,52046
38,2013-07-02,10302,16021,17624,11905,55852
39,2013-07-09,30746,31345,23042,22443,107576
40,2013-07-16,33859,27998,16670,22531,101058
41,2013-07-23,28535,20585,5480,13430,68030
42,2013-07-30,30049,19535,4931,15445,69960
43,2013-08-06,29467,27386,12456,14537,83846
44,2013-08-13,38575,26649,11629,23555,100408
45,2013-08-20,29419,19643,4101,13877,67040
46,2013-08-27,34849,30127,12850,17572,95398
47,2013-09-03,36956,35857,21505,22604,116922
48,2013-09-10,40497,12111,6475,34861,93944
49,2013-09-17,15597,6071,19875,29401,70944
50,2013-09-24,7954,6882,5009,6081,25926
51,2013-10-01,8562,11263,6235,3534,29594
52,2013-10-08,8396,16348,13538,5586,43868
53,2013-10-15,7974,12023,13229,9180,42406
54,2013-10-22,10074,8908,6229,7395,32606
55,2013-10-29,6909,9847,7065,4127,27948
56,2013-11-05,11675,7817,4257,8115,31864
57,2013-11-12,6909,7942,4614,3581,23046
58,2013-11-19,6586,9684,8574,5476,30320
59,2013-11-26,37605,31941,9360,15024,93930
60,2013-12-03,36711,36948,15169,14932,103760
61,2013-12-10,35445,18835,6196,22806,83282
62,2013-12-17,36038,5965,4975,35048,82026
63,2013-12-24,33518,20616,5919,18821,78874
64,2014-01-14,7830,4993,5670,8507,27000
65,2014-01-21,6832,6626,3313,3519,20290
66,2014-01-28,5234,17276,14017,1975,38502
67,2014-02-04,5768,14579,12267,3456,36070
68,2014-02-11,36244,17048,4691,23887,81870
69,2014-02-18,49373,24319,4796,29850,108338
70,2014-02-25,48675,30673,4334,22336,106018
71,2014-03-04,45317,11564,4873,38626,100380
72,2014-03-11,45689,12283,3694,37100,98766
73,2014-03-18,3559,5032,3614,2141,14346
74,2014-03-25,3594,5965,6515,4144,20218
